fecha,casosConfirmados
01/01/2022,7701
02/01/2022,7706
03/01/2022,7725
04/01/2022,7774
05/01/2022,7809
06/01/2022,7891
07/01/2022,7938
08/01/2022,8016
09/01/2022,8107
10/01/2022,8180
11/01/2022,8268
12/01/2022,8431
13/01/2022,8535
14/01/2022,8697
15/01/2022,8802
16/01/2022,8908
17/01/2022,8959
18/01/2022,9098
19/01/2022,9238
20/01/2022,9361
21/01/2022,9467
22/01/2022,9594
23/01/2022,9691
24/01/2022,9725
25/01/2022,9808
26/01/2022,9921
27/01/2022,10051
28/01/2022,10169
29/01/2022,10306
30/01/2022,10415
31/01/2022,10429
01/02/2022,10493
02/02/2022,10568
03/02/2022,10636
04/02/2022,10734
05/02/2022,10774
06/02/2022,10791
07/02/2022,10812
08/02/2022,10874
09/02/2022,10922
10/02/2022,10994
11/02/2022,11046
12/02/2022,11074
13/02/2022,11081
14/02/2022,11086
15/02/2022,11146
16/02/2022,11185
17/02/2022,11209
18/02/2022,11232
19/02/2022,11260
20/02/2022,11266
21/02/2022,11268
22/02/2022,11305
23/02/2022,11318
24/02/2022,11343
25/02/2022,11362
26/02/2022,11373
27/02/2022,11375
28/02/2022,11377
01/03/2022,11377
02/03/2022,11380
03/03/2022,11387
04/03/2022,11420
05/03/2022,11433
06/03/2022,11438
07/03/2022,11440
08/03/2022,11456
09/03/2022,11464
10/03/2022,11476
11/03/2022,11500
12/03/2022,11509
13/03/2022,11511
14/03/2022,11518
15/03/2022,11525
16/03/2022,11546
17/03/2022,11550
18/03/2022,11553
19/03/2022,11557
20/03/2022,11559
21/03/2022,11560
22/03/2022,11570
23/03/2022,11573
24/03/2022,11584
25/03/2022,11587
26/03/2022,11593
27/03/2022,11599
28/03/2022,11601
